campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
Peregrine Guarding ,3.8,"Gurgaon/Gurugram,Haryana + 31 more",Gurgaon/Gurugram, 31,Private,27,501-1k Employees (India),,162,678,7,5
Hotel Park Plaza ,4,London + 17 more,London, 17,Private,36,5k-10k Employees (Global),,162,441,,1
The Dow Chemical Company ,4.4,"Midland,Michigan + 7 more",Midland, 7,Private,65,1k-5k Employees (India),,162,978,21,5
Banswara Syntex ,4.2,"Banswara,Rajasthan + 8 more",Banswara, 8,Public,46,10k-50k Employees (India),,162,625,,1
Home First Finance Company India ,3.9,"Mumbai,Maharashtra + 35 more",Mumbai, 35,Private,12,1k-5k Employees (India),,162,1.3k,,10
Honour Lab ,3.9,"Hyderabad/Secunderabad,Telangana + 7 more",Hyderabad/Secunderabad, 7,Private,10,201-500 Employees (India),,162,908,,8
Saudi Oger ,4.3,Riyadh + 14 more,Riyadh, 14,Private,44,1-10 Employees (India),,162,111,,1
CBSL ,3.8,New Delhi + 39 more,New, 39,Private,72,1k-5k Employees (India),,162,952,1,11
eNoah iSolution ,3.9,"Chennai,Tamil Nadu + 3 more",Chennai, 3,Private,17,1k-5k Employees (India),,162,1.3k,30,6
Tejas Networks ,4.1,"Bangalore,Karnataka + 14 more",Bangalore, 14,Public,22,1k-5k Employees (India),,162,1.2k,7,13
TAL Manufacturing Solutions ,4.1,"Pune,Maharashtra + 6 more",Pune, 6,Private,22,501-1k Employees (India),,162,560,,2
Nippon Audiotronix ,3.3,"Delhi/NCR,Delhi + 10 more",Delhi/NCR, 10,Private,26,501-1k Employees (India),,162,819,,3
Cadsys ,4.3,"Hyderabad/Secunderabad,Telangana + 2 more",Hyderabad/Secunderabad, 2,Public,33,201-500 Employees (India),,162,365,4,2
American Tower Corporation ,4,"Boston,MA + 28 more",Boston, 28,Private,27,501-1k Employees (India),,162,841,2,1
E2logy Software Solutions ,4.9,"Ahmedabad,Gujarat + 1 more",Ahmedabad, 1,Private,17,51-200 Employees (India),,162,114,,
Continuum Managed Services ,3.9,"Tampa,Florida + 2 more",Tampa, 2,Private,17,51-200 Employees (India),,162,760,77,
Shree Renuka Sugars ,4.2,"Belagavi/Belgaum,Karnataka + 22 more",Belagavi/Belgaum, 22,Public,24,1k-5k Employees (India),,162,657,2,10
Lincoln Pharmaceuticals ,3.7,"Ahmedabad,Gujarat + 12 more",Ahmedabad, 12,Public,43,1k-5k Employees (India),,162,793,5,10
Sales India ,3.8,Ahmedabad + 52 more,Ahmedabad, 52,Private,51,501-1k Employees (India),,162,1.2k,2,15
Puranik Builders ,3.7,"Thane,Maharashtra + 6 more",Thane, 6,Public,54,201-500 Employees (India),,162,798,10,3
Bajaj Consumer Care ,4.1,"Mumbai,Maharashtra + 41 more",Mumbai, 41,Public,92,201-500 Employees (India),,162,841,,8
Peter England ,4.2,Londonderry + 69 more,Londonderry, 69,Private,133,501-1k Employees (India),,162,620,,
Prolifics Corporation ,3.6,"Orlando,Florida + 5 more",Orlando, 5,Private,44,501-1k Employees (India),,162,1.4k,28,9
Toshiba ,4.1,Tokyo + 23 more,Tokyo, 23,Private,147,201-500 Employees (India),,615,800,,6
Cure foods ,4.3,"Bangalore,Karnataka + 14 more",Bangalore, 14,Private,6,501-1k Employees (India),,190,575,1,8
LM Wind Power ,4,Kolding + 6 more,Kolding, 6,Private,82,501-1k Employees (India),,161,732,,7
Chettinad Cements ,4,"Chennai,Tamil Nadu + 32 more",Chennai, 32,Private,60,1k-5k Employees (India),,161,1k,6,9
Dorf Ketal Chemicals ,3.7,Houston + 20 more,Houston, 20,LLC,30,1k-5k Employees (India),,161,986,,5
MEDOPHARM ,3.4,"Chennai,Tamil Nadu + 13 more",Chennai, 13,Private,52,1k-5k Employees (India),,161,693,4,3
Par Formulations ,4.2,New York + 5 more,New, 5,Private,10,501-1k Employees (India),,161,1k,5,8
St. John's Medical College Hospital ,4,"Bangalore/Bengaluru,Karnataka + 7 more",Bangalore/Bengaluru, 7,Private,18,1k-5k Employees (India),,161,474,,3
Virchow Biotech ,3.5,"Hyderabad/Secunderabad,Telangana + 5 more",Hyderabad/Secunderabad, 5,Private,23,1k-5k Employees (India),,161,956,,8
Ather Energy ,4.2,"Bangalore,Karnataka + 9 more",Bangalore, 9,Private,9,1k-5k Employees (India),,161,1.3k,14,11
RedBus ,4.4,"Bangalore,Karnataka + 13 more",Bangalore, 13,Private,16,1k-5k Employees (India),,161,949,35,6
Mitra SK ,4.1,"Kolkata,West Bengal + 22 more",Kolkata, 22,Private,84,1k-5k Employees (India),,161,606,1,4
Gaursons ,3.8,"Ghaziabad,Uttar Pradesh + 6 more",Ghaziabad, 6,Public,27,501-1k Employees (India),,161,755,30,6
Concorde Motors ,4.4,"Bangalore/Bengaluru,Karnataka + 12 more",Bangalore/Bengaluru, 12,Public,50,501-1k Employees (Global),,161,468,,
Koyo Bearings India ,4,Gurgaon + 3 more,Gurgaon, 3,Private,15,1k-5k Employees (India),,161,810,,3
Verifacts Services ,4,Bengaluru + 6 more,Bengaluru, 6,Private,18,51-200 Employees (India),,161,455,1,6
TÜV Rheinland ,4,Cologne + 34 more,Cologne, 34,Private,150,501-1k Employees (India),,161,659,,3
Calsoft ,3.6,"San Jose,California + 2 more",San Jose, 2,Private,24,1k-5k Employees (India),,161,1.8k,36,13
Iol Chemicals & Pharmaceuticals ,3.9,"Ludhiana,Punjab + 7 more",Ludhiana, 7,Private,36,1k-5k Employees (India),,161,976,1,10
Recipharm Pharmaservices ,4,"Stockholm,Stockholm + 5 more",Stockholm, 5,Private,27,11-50 Employees (India),,161,946,,3
Sakra World Hospital ,4.1,"Bangalore/Bengaluru,Karnataka + 3 more",Bangalore/Bengaluru, 3,Private,9,1k-5k Employees (India),,161,584,,3
Zydus Hospital ,4.3,"Ahmedabad,Gujarat + 7 more",Ahmedabad, 7,Public,7,501-1k Employees (India),,161,568,4,5
Caresoft Global ,3.5,"Detroit,Michigan + 5 more",Detroit, 5,Private,18,1k-5k Employees (India),,161,1.8k,58,13
Nippon India Mutual Fund ,4.5,"Mumbai,Maharashtra + 64 more",Mumbai, 64,JV,27,1k-5k Employees (India),,161,994,,6
DSV - Global Transport and Logistics ,4.2,Hedehusene + 18 more,Hedehusene, 18,,46,1k-5k Employees (India),,161,932,2,5
ACG Worldwide ,4,"Mumbai,Maharashtra + 9 more",Mumbai, 9,Private,61,1k-5k Employees (India),,190,779,1,7
Technicolor ,4.3,Paris + 4 more,Paris, 4,Private,129,1k-5k Employees (India),,163,1.3k,36,9
SEW Infrastructure ,4.2,"Hyderabad/Secunderabad,Telangana + 19 more",Hyderabad/Secunderabad, 19,Private,62,1k-5k Employees (India),,160,445,,
Presto Infosolutions ,3.8,"Delhi/NCR,Delhi + 36 more",Delhi/NCR, 36,Private,22,501-1k Employees (India),,160,877,24,2
Emirates Flight Catering ,4.5,"Dubai,Dubai + 11 more",Dubai, 11,Public,40,201-500 Employees (India),,160,215,,5
Securens System ,4,"Mumbai,Maharashtra + 28 more",Mumbai, 28,Private,10,201-500 Employees (India),,160,590,2,
RSM India ,3.3,London + 18 more,London, 18,Private,58,1k-5k Employees (India),,160,1.1k,27,15
TIDC India ,4,"Chennai,Tamil Nadu + 18 more",Chennai, 18,Private,62,5k-10k Employees (India),,160,769,,2
Global Aluminium ,3.9,Hyderabad/Secunderabad + 4 more,Hyderabad/Secunderabad, 4,Private,25,1k-5k Employees (India),,160,370,,7
Liberty Shoes ,4,"Gurgaon/Gurugram,Haryana + 31 more",Gurgaon/Gurugram, 31,Public,68,51-200 Employees (India),,160,658,,3
ASUS ,4.4,"Beitou District,Taipei + 41 more",Beitou District, 41,Private,33,501-1k Employees (India),,160,510,1,2
Neilsoft ,3.6,Pune + 6 more,Pune, 6,Private,29,501-1k Employees (India),,160,1.3k,38,9
Pace Power Systems ,4,"Bangalore/Bengaluru,Karnataka + 36 more",Bangalore/Bengaluru, 36,Private,73,501-1k Employees (India),,160,418,,4
Halonix Technologies ,4.2,"Noida,Uttar Pradesh + 26 more",Noida, 26,Private,9,501-1k Employees (India),,160,732,1,3
SRMB SRIJAN ,4,"Kolkata,West Bengal + 23 more",Kolkata, 23,,71,201-500 Employees (India),,160,724,29,9
Parul University ,3.7,"Vadodara/Baroda,Gujarat + 15 more",Vadodara/Baroda, 15,Private,7,201-500 Employees (India),,160,601,2,5
MidasCare Pharmaceuticals ,3.2,"Mumbai,Maharashtra + 27 more",Mumbai, 27,Private,36,201-500 Employees (India),,160,541,,3
Fingent ,4.8,"New York,New York + 3 more",New York, 3,Private,19,501-1k Employees (India),,160,442,26,10
AISATS ,3.9,Mumbai + 7 more,Mumbai, 7,Private,14,5k-10k Employees (India),,160,412,,5
TCI Supply Chain Solutions ,4.4,"Gurgaon/Gurugram,Haryana + 31 more",Gurgaon/Gurugram, 31,Private,64,5k-10k Employees (India),,160,603,,5
Bravura Solutions ,4.5,"Gurgaon/Gurugram,Haryana",Gurgaon/Gurugram,#VALUE!,Private,18,201-500 Employees (India),,160,940,1,4
Cyber Infrastructure ,3.7,"San Jose,California + 1 more",San Jose, 1,Private,19,501-1k Employees (India),,160,809,34,12
University of Petroleum & Energy Studies ,4.2,"Dehradun,Uttarakhand + 8 more",Dehradun, 8,Private,19,501-1k Employees (India),,160,631,1,8
CES ,4,"Bolingbrook,Illinois + 10 more",Bolingbrook, 10,Public,26,1k-5k Employees (India),,160,1.4k,52,13
Infinx Healthcare ,3.6,San Jose + 5 more,San, 5,,10,501-1k Employees (India),,160,956,27,6
Bose ,4.5,"Framingham,Massachusetts + 25 more",Framingham, 25,Private,58,501-1k Employees (India),,159,564,,1
Fluentgrid ,4,"Hyderabad/Secunderabad,Telangana + 24 more",Hyderabad/Secunderabad, 24,Private,24,501-1k Employees (India),,159,1.1k,11,10
MARK EXHAUST SYSTEMS ,3.9,"Gurgaon/Gurugram,Haryana + 8 more",Gurgaon/Gurugram, 8,Public,29,501-1k Employees (India),,159,657,,9
Bhavani Industries ,3.7,"Bangalore/Bengaluru,Karnataka + 10 more",Bangalore/Bengaluru, 10,Private,35,201-500 Employees (Global),,159,718,,5
ISMT ,3.9,"Pune,Maharashtra + 2 more",Pune, 2,Public,45,1k-5k Employees (India),,159,784,1,6
British Biologicals ,3.3,"Bangalore/Bengaluru,Karnataka + 34 more",Bangalore/Bengaluru, 34,Private,34,501-1k Employees (India),,159,528,,4
Themis Medicare ,3.5,"Mumbai,Maharashtra + 23 more",Mumbai, 23,Public,53,201-500 Employees (India),,159,656,,2
Rupa ,3.9,"Kolkata,West Bengal + 22 more",Kolkata, 22,Private,54,1k-5k Employees (India),,159,590,4,6
Veer-O-- Metals ,4.1,"Bangalore/Bengaluru,Karnataka + 3 more",Bangalore/Bengaluru, 3,Private,57,51-200 Employees (India),,159,730,,9
Kalyani Forge ,3.2,"Pune,Maharashtra + 1 more",Pune, 1,Public,43,501-1k Employees (India),,159,511,2,5
Zetwerk Manufacturing Businesses ,4.2,"Bangalore,Karnataka + 22 more",Bangalore, 22,Private,4,501-1k Employees (India),,159,941,132,20
Toyota Tsusho ,4.3,"Nagoya,Aichi + 15 more",Nagoya, 15,Public,23,501-1k Employees (India),,1.6k,924,19,4
Jagran Prakashan ,3.8,Kanpur + 44 more,Kanpur, 44,Public,47,501-1k Employees (India),,512,701,,1
Mantra Technologies ,3.8,"Hyderabad/Secunderabad,Telangana + 2 more",Hyderabad/Secunderabad, 2,LLP,18,201-500 Employees (India),,176,291,78,10
Ubisoft Entertainment ,3.9,"Montreuil,Seine-saint-denis + 1 more",Montreuil, 1,Private,36,1k-5k Employees (India),,159,1.1k,74,11
Inspira Enterprise India ,4.1,"Mumbai,Maharashtra + 20 more",Mumbai, 20,Private,14,1k-5k Employees (India),,158,1.4k,12,16
Sri Gopikrishna Infrastructure ,4.1,"Hyderabad/Secunderabad,Telangana + 20 more",Hyderabad/Secunderabad, 20,,15,51-200 Employees (India),,158,531,9,
Grupo Antolin ,3.8,"Burgos,Burgos + 10 more",Burgos, 10,Private,72,1k-5k Employees (India),,158,908,25,8
Feedback Energy Distribution Company ,4.1,"Gurgaon/Gurugram,Haryana + 27 more",Gurgaon/Gurugram, 27,Private,10,51-200 Employees (India),,158,577,,4
Ict Sms ,3.8,"Bangalore/Bengaluru,Karnataka + 8 more",Bangalore/Bengaluru, 8,Private,13,51-200 Employees (India),,158,652,,1
CSIR ,4.5,"Delhi/NCR,New Delhi + 28 more",Delhi/NCR, 28,Public,77,1 Lakh+ Employees (India),,158,573,,15
Samarth LifeSciences ,3.4,"Mumbai,Maharashtra + 25 more",Mumbai, 25,Private,59,501-1k Employees (India),,158,709,1,12
Anudip Foundation ,3.8,"Kolkata,West Bengal + 28 more",Kolkata, 28,NGO/NPO,15,501-1k Employees (India),,158,638,4,8
IndiaCan ,4.5,"Noida,Uttar Pradesh + 40 more",Noida, 40,Private,14,201-500 Employees (India),,158,144,,2
Ador Welding ,4,"Mumbai,Maharashtra + 21 more",Mumbai, 21,Public,71,501-1k Employees (India),,158,650,9,4
Polestar Solutions & Services India ,4.6,"Noida,Uttar Pradesh + 6 more",Noida, 6,Private,10,201-500 Employees (India),,158,512,18,8
Franchise India Brands ,2.3,"New Delhi,Delhi + 20 more",New Delhi, 20,Private,23,201-500 Employees (India),,158,666,5,5
Rooman Technologies ,3.6,"Bangalore/Bengaluru,Karnataka + 35 more",Bangalore/Bengaluru, 35,Private,23,201-500 Employees (India),,158,606,3,2
ICICI Foundation for Inclusive Growth ,4.1,"Mumbai,Maharashtra + 43 more",Mumbai, 43,Private,14,501-1k Employees (India),,158,527,2,5
IREO ,4,"Gurgaon/Gurugram,Haryana + 7 more",Gurgaon/Gurugram, 7,Private,18,501-1k Employees (India),,158,381,1,4
Omninos Solutions ,4.7,Chandigarh + 23 more,Chandigarh, 23,,6,201-500 Employees (India),,158,84,,5
Hexagon Capability Center ,4.1,Stockholm + 3 more,Stockholm, 3,,35,1k-5k Employees (India),,158,1.6k,105,11
Amec Foster Wheeler ,3.9,Aberdeen + 12 more,Aberdeen, 12,Private,40,1k-5k Employees (India),,158,378,2,6
Azure Power ,3.9,"Delhi,NCT + 13 more",Delhi, 13,Private,14,501-1k Employees (India),,158,860,11,12
Asian Institute of Medical Sciences ,4.1,"Faridabad,Haryana + 14 more",Faridabad, 14,Private,12,1k-5k Employees (India),,157,722,18,2
Mobiloitte Technologies ,2.8,"Delhi/NCR,Delhi + 3 more",Delhi/NCR, 3,Private,18,501-1k Employees (India),,157,532,117,8
The Supreme Ind Ltd Jalgaon ,4.4,Mumbai + 31 more,Mumbai, 31,,80,1k-5k Employees (India),,157,954,,2
Writer Information Management Services ,3.4,Mumbai + 21 more,Mumbai, 21,Private,35,5k-10k Employees (Global),,157,958,7,6
Kosamattam Finance ,3.5,"Kottayam,Kerala + 44 more",Kottayam, 44,Private,35,51-200 Employees (India),,157,633,,4
Kangaro Industries ,3.9,"Ludhiana,Punjab + 15 more",Ludhiana, 15,Private,28,501-1k Employees (India),,157,690,,6
Cavisson Systems ,3.6,"Santa Clara,California",Santa Clara,#VALUE!,Private,11,501-1k Employees (India),,157,1.3k,1,5
Sabre ,3.9,"Southlake,Texas + 6 more",Southlake, 6,Private,62,1k-5k Employees (India),,157,1.5k,52,12
Tata Metaliks ,4,"Kolkata,West Bengal + 7 more",Kolkata, 7,Public,32,1k-5k Employees (India),,157,664,,24
Onida ,3.8,Mumbai + 45 more,Mumbai, 45,Private,41,1k-5k Employees (India),,157,515,1,2
Silverskills ,3.6,"Gurgaon/Gurugram,Haryana + 4 more",Gurgaon/Gurugram, 4,Private,21,201-500 Employees (India),,157,824,5,5
Oceaneering International ,3.9,Houston + 2 more,Houston, 2,Private,58,1k-5k Employees (India),,157,1.1k,10,14
Tata Housing Development Company ,4.2,"Mumbai,Maharashtra + 17 more",Mumbai, 17,Public,38,1k-5k Employees (India),,157,624,1,2
Hardcastle Restaurants ,4.3,Mumbai + 24 more,Mumbai, 24,Private,27,5k-10k Employees (India),,157,577,,1
Garware Technical Fibres ,4,Pune + 17 more,Pune, 17,Private,46,1k-5k Employees (India),,157,744,1,5
TAJSATS AIR CATERING ,4.1,"Mumbai,Maharashtra + 9 more",Mumbai, 9,Public,46,51-200 Employees (India),,157,511,,
Espire Infolabs ,3.4,"Gurgaon/Gurugram,Haryana + 3 more",Gurgaon/Gurugram, 3,Private,21,201-500 Employees (India),,157,1.3k,69,4
Stanley Black & Decker ,4,New Britain + 16 more,New, 16,Private,179,501-1k Employees (India),,224,907,7,6
Sahajanand Laser Technology ,3.5,"Gandhinagar,Gujarat + 16 more",Gandhinagar, 16,Public,33,501-1k Employees (India),,156,501,20,6
Indian Metals & Ferro Alloys ,4.3,"Bhubaneswar,Odisha + 14 more",Bhubaneswar, 14,Public,61,1k-5k Employees (India),,156,747,,2
Mahindra Integrated Business Solutions ,3.6,"Mumbai,Maharashtra + 21 more",Mumbai, 21,Private,20,1k-5k Employees (India),,156,1.1k,8,5
Rochem Separation Systems  ,4,"Mumbai,Maharashtra + 19 more",Mumbai, 19,,31,201-500 Employees (India),,156,839,2,6
Avis ,4,"Parsippany,New Jersey + 19 more",Parsippany, 19,Private,76,1k-5k Employees (India),,156,615,4,
The Indian Hume Pipe Co. ,4.1,Mumbai + 30 more,Mumbai, 30,Public,96,1k-5k Employees (India),,156,805,6,6
Northcorp Software ,4.7,"Gurgaon/Gurugram,Haryana + 6 more",Gurgaon/Gurugram, 6,Private,7,51-200 Employees (India),,156,120,4,5
Atibir Industries ,3.6,"Giridih,Jharkhand + 8 more",Giridih, 8,Private,22,501-1k Employees (India),,156,567,,1
GKB RX Lens ,4.2,"Kolkata,West Bengal + 19 more",Kolkata, 19,Private,63,1k-5k Employees (India),,156,416,,2
Data-Core Systems ,3.3,Bristol + 6 more,Bristol, 6,Private,34,201-500 Employees (India),,156,681,11,3
Sungard Availability Services ,4.1,"Jacksonville,Florida",Jacksonville,#VALUE!,Private,54,51-200 Employees (India),,156,1.2k,4,8
Saksoft ,4.1,"Chennai,Tamil Nadu + 8 more",Chennai, 8,Public,23,51-200 Employees (India),,156,1.8k,42,10
Cogencis Information Services ,3.9,Mumbai + 4 more,Mumbai, 4,Private,15,501-1k Employees (India),,156,645,3,5
Sangeetha Mobile ,4.3,"Bangalore/Bengaluru,Karnataka + 36 more",Bangalore/Bengaluru, 36,Private,48,1k-5k Employees (India),,156,912,11,5
Baramati Agro ,4,"Pune,Maharashtra + 19 more",Pune, 19,Public,34,1k-5k Employees (India),,156,754,,6
OnMobile Global ,4.1,Bangalore + 10 more,Bangalore, 10,Private,22,1k-5k Employees (India),,156,1k,1,4
AVL ,4.1,Graz + 9 more,Graz, 9,Private,74,501-1k Employees (India),,156,941,,9
QA InfoTech ,3.5,"Noida,Uttar Pradesh + 4 more",Noida, 4,Private,19,501-1k Employees (India),,156,2.1k,7,12
Spacewood ,3.6,"Nagpur,Maharashtra + 16 more",Nagpur, 16,Private,28,201-500 Employees (India),,156,836,7,1
MagicPin ,2.8,"Gurgaon,Haryana + 11 more",Gurgaon, 11,Private,7,201-500 Employees (India),,156,925,99,13
Radheya Machining ,3.3,Pune + 10 more,Pune, 10,,22,51-200 Employees (India),,156,490,,4
NACL Industries ,4.3,"Hyderabad/Secunderabad,Telangana + 34 more",Hyderabad/Secunderabad, 34,Private,29,1k-5k Employees (India),,156,477,,7
Meenakshi Polymers ,3.8,"Gurgaon/Gurugram,Haryana + 16 more",Gurgaon/Gurugram, 16,Private,33,501-1k Employees (India),,156,686,,4
Van Heusen ,4,New York + 50 more,New, 50,Private,101,1 Lakh+ Employees (India),,156,601,,2
Microsense ,3.7,"Collegeville,Pennsylvania + 24 more",Collegeville, 24,,40,201-500 Employees (India),,155,644,,7
Mas Callnet ,3.5,"Noida,Uttar Pradesh + 11 more",Noida, 11,Private,32,51-200 Employees (India),,155,502,1,4
Reliance Cement Company ,4.5,Kathmandu + 23 more,Kathmandu, 23,Private,18,501-1k Employees (India),,155,486,,3
SALARPURIA SATTVA ,4.1,"Bangalore/Bengaluru,Karnataka + 8 more",Bangalore/Bengaluru, 8,Private,36,1k-5k Employees (India),,155,863,2,9
Nexval Infotech ,3.4,"Kolkata,West Bengal + 2 more",Kolkata, 2,Private,13,501-1k Employees (India),,155,684,3,3
Oerlikon Graziano Transmission ,4.4,Pfaffikon + 9 more,Pfaffikon, 9,Private,116,1k-5k Employees (India),,155,203,,
Titan Engineering & Automation ,4.2,Hosur + 3 more,Hosur, 3,Private,28,501-1k Employees (India),,155,865,,6
Sanjeev Auto Parts Manufacturers ,4.4,"Aurangabad,Maharashtra",Aurangabad,#VALUE!,Private,34,201-500 Employees (India),,155,475,,6
Lalitha Jewellery ,3.8,"Chennai,Tamil Nadu + 20 more",Chennai, 20,Private,39,1k-5k Employees (India),,155,661,,5
Saama Technologies ,3.9,"Campbell,California + 1 more",Campbell, 1,Private,25,1k-5k Employees (India),,155,1.9k,34,21
Encube Ethicals ,3.9,Mumbai + 7 more,Mumbai, 7,Private,22,201-500 Employees (India),,155,1.1k,,2
Canvera ,3.5,"Bangalore,Karnataka + 22 more",Bangalore, 22,Private,15,501-1k Employees (India),,155,543,12,2
MAN Truck & Bus ,3.9,"Munich,Munich + 17 more",Munich, 17,Private,264,201-500 Employees (India),,155,432,2,8
TRINAMIX ,4.4,"San Jose,California + 3 more",San Jose, 3,Private,10,201-500 Employees (India),,155,295,5,2
Cactus Communications ,3.6,"Mumbai,Maharashtra + 10 more",Mumbai, 10,Private,20,1k-5k Employees (India),,155,927,33,33
Allengers Medical Systems ,4,"Chandigarh,Haryana + 29 more",Chandigarh, 29,Public,35,1k-5k Employees (India),,155,649,21,4
Uneecops Technologies ,4.4,"Delhi/NCR,Delhi + 11 more",Delhi/NCR, 11,Private,27,501-1k Employees (India),,155,1.1k,2,3
Elin Appliances ,4.1,"Ghaziabad,Uttar Pradesh + 9 more",Ghaziabad, 9,Private,53,51-200 Employees (India),,155,729,,3
Hummingwave Technologies ,5,Bangalore + 2 more,Bangalore, 2,Private,9,11-50 Employees (India),,155,71,3,1
ShopX ,4.2,"Bangalore,Karnataka + 29 more",Bangalore, 29,Private,7,201-500 Employees (India),,155,844,6,1
NielsenIQ ,4.1,Chicago + 12 more,Chicago, 12,,99,1k-5k Employees (India),,155,1.1k,33,29
JoulestoWatts Business Solutions ,2.9,"Bangalore,Karnataka + 11 more",Bangalore, 11,Private,7,51-200 Employees (India),,155,1.4k,296,5
Sonalika Group of Companies ,3.9,Hoshiarpur + 30 more,Hoshiarpur, 30,Private,53,5k-10k Employees (India),,1.5k,947,30,11
UAE Exchange ,4,"Abu Dhabi,Abu Dhabi + 38 more",Abu Dhabi, 38,Public,27,1-10 Employees (India),,355,339,3,2
Al Fara'a Group ,3.6,"Al Ain,Abu Dhabi + 10 more",Al Ain, 10,Private,42,201-500 Employees (India),,274,288,,
Super Auto Forge ,3.8,"Chennai,Tamil Nadu + 4 more",Chennai, 4,Private,47,201-500 Employees (India),,154,904,,2
Namaste India Foods ,4.2,"Kanpur,Uttar Pradesh + 18 more",Kanpur, 18,,8,11-50 Employees (India),,154,487,,3
Merck Life Science ,4.2,Mumbai + 13 more,Mumbai, 13,Private,354,1k-5k Employees (India),,154,1.1k,12,6
Carzonrent ,3.9,"Delhi,NCT + 14 more",Delhi, 14,Private,22,51-200 Employees (India),,154,470,,1
Yakult Danone India ,4.1,New Delhi + 17 more,New, 17,,17,201-500 Employees (India),,154,491,,4
Acme Generics LLP ,3.5,"Baddi,Himachal Pradesh + 11 more",Baddi, 11,LLP,17,51-200 Employees (India),,154,781,1,4
Gtpl Hathway ,4,"Ahmedabad,Gujarat + 24 more",Ahmedabad, 24,Public,16,1k-5k Employees (India),,154,822,2,7
Kauvery Hospital ,3.9,"Chennai,Tamil Nadu + 10 more",Chennai, 10,Public,23,51-200 Employees (India),,154,799,11,3
Sterling Talent Solutions ,3.9,"Bothell,Washington + 1 more",Bothell, 1,Private,47,1k-5k Employees (India),,154,824,,5
Sanoh  ,4.4,Tokyo + 14 more,Tokyo, 14,,83,201-500 Employees (India),,154,654,,3
Wishfin ,3.6,"Noida,Uttar Pradesh + 7 more",Noida, 7,Private,14,201-500 Employees (India),,154,816,55,1
TJSB Sahakari Bank ,4.1,Thane + 26 more,Thane, 26,Private,50,1k-5k Employees (India),,154,734,,8
Ordnance Factory ,4.4,Kolkata + 21 more,Kolkata, 21,,247,50k-1 Lakh Employees (Global),,154,337,,3
SHV Energy ,3.9,Hoofddorp + 20 more,Hoofddorp, 20,Private,26,201-500 Employees (India),,154,759,2,9
Archirodon ,4.1,"Dordrecht,South Holland + 14 more",Dordrecht, 14,Private,63,201-500 Employees (India),,154,204,,1
Vedang Radio Technology ,4,"Mumbai,Maharashtra + 20 more",Mumbai, 20,Private,17,501-1k Employees (India),,154,387,,3
Cremica Food Industries ,4,"Delhi/NCR,New Delhi + 29 more",Delhi/NCR, 29,Public,44,501-1k Employees (India),,154,641,,1
Puzzolana Machinery Fabricators ,3.6,"Hyderabad/Secunderabad,Telangana + 5 more",Hyderabad/Secunderabad, 5,Private,58,501-1k Employees (India),,154,673,3,7
Unibic Foods ,4.3,Bangalore + 31 more,Bangalore, 31,Private,18,501-1k Employees (India),,154,669,2,2
Bnp Paribas Securities ,3.8,Pantin + 5 more,Pantin, 5,Private,174,10k-50k Employees (India),,154,1.3k,,7
Ashok Iron Works ,3.5,"Belagavi/Belgaum,Karnataka + 2 more",Belagavi/Belgaum, 2,Private,48,1k-5k Employees (India),,154,723,,4
Ritz-Carlton ,4.2,Maryland + 13 more,Maryland, 13,Private,39,501-1k Employees (India),,154,394,,2
Gi Group ,3.9,"Milan,Milan + 34 more",Milan, 34,Private,24,51-200 Employees (India),,154,647,212,1
US Tech Solutions ,4,"New Jersey,New Jersey + 10 more",New Jersey, 10,Private,22,201-500 Employees (India),,154,1.4k,6,9
Neon Laboratories ,3.7,"Mumbai,Maharashtra + 22 more",Mumbai, 22,Public,40,1k-5k Employees (India),,154,785,,2
L&T Defence ,4.2,Mumbai + 10 more,Mumbai, 10,,12,1k-5k Employees (India),,154,915,,4
Save the Children ,4,Fairfield + 30 more,Fairfield, 30,Private,14,201-500 Employees (India),,154,492,13,2
MBL Infrastructures ,4.1,"Delhi/NCR,Delhi + 15 more",Delhi/NCR, 15,Public,27,201-500 Employees (India),,153,397,6,6
Globtier Infotech ,3.6,"Noida,Uttar Pradesh + 26 more",Noida, 26,Private,17,1k-5k Employees (India),,153,965,4,6
IndustryBuying.com ,3.7,"Delhi,NCT + 12 more",Delhi, 12,Private,9,51-200 Employees (India),,153,732,133,8
Bony Polymers ,3.9,"Faridabad,Haryana + 11 more",Faridabad, 11,Private,41,201-500 Employees (India),,153,872,2,5
Towell Engineering Group ,4.1,Muscat + 8 more,Muscat, 8,,21,51-200 Employees (India),,153,393,,6
R.V.R. PROJECTS ,4,"Visakhapatnam/Vizag,Andhra Pradesh + 22 more",Visakhapatnam/Vizag, 22,Private,46,51-200 Employees (India),,153,672,2,9
QBurst Technologies ,4.7,"Chantilly,Virginia + 7 more",Chantilly, 7,Private,18,1k-5k Employees (India),,153,1.4k,44,15
Flash Viven Machining Technologies ,3.9,New Delhi,New,#VALUE!,Private,9,1k-5k Employees (India),,153,872,,7
Trackon Courier ,3.6,"Delhi/NCR,Delhi + 41 more",Delhi/NCR, 41,Private,20,51-200 Employees (India),,153,675,6,1
Ratnamani Metals and Tubes ,4.2,"Ahmedabad,Gujarat + 10 more",Ahmedabad, 10,Public,39,1k-5k Employees (India),,153,631,7,2
