campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
Zydus Cadila ,4.2,"Ahmedabad, India + 121 more",Ahmedabad, 121,Public,70,10k-50k Employees (India),,4.6k,15.2k,1,112
Bajaj Allianz Life Insurance ,4.2,Pune + 425 more,Pune, 425,Private,21,10k-50k Employees (India),,3.7k,22.3k,31,114
ITC ,3.9,"Kolkata,West Bengal + 224 more",Kolkata, 224,Public,47,10k-50k Employees (India),,7k,17.3k,33,219
Ujjivan Small Finance Bank ,4.1,"Bangalore/Bengaluru,Karnataka + 378 more",Bangalore/Bengaluru, 378,Public,5,10k-50k Employees (India),,3.6k,13.7k,49,92
OPPO ,4,"Dongguan,Guangdong + 311 more",Dongguan, 311,Public,18,10k-50k Employees (India),,3.7k,13.3k,22,105
Mindtree ,4.1,"Bangalore/Bengaluru,Karnataka + 25 more",Bangalore/Bengaluru, 25,Public,23,10k-50k Employees (India),,3.5k,53k,177,486
KPMG ,3.8,Bengaluru/Bangalore + 49 more,Bengaluru/Bangalore, 49,Partnership,35,10k-50k Employees (Global),,3.6k,36.6k,264,337
IIFL ,3.9,"Mumbai,Maharashtra + 456 more",Mumbai, 456,Public,27,10k-50k Employees (India),,3.4k,18.5k,99,140
Shapoorji Pallonji Group ,4.3,"Mumbai,Maharashtra + 135 more",Mumbai, 135,Private,157,5k-10k Employees (India),,6.6k,12.9k,35,128
JP Morgan Chase ,4.2,"New York,New York + 20 more",New York, 20,Private,22,10k-50k Employees (India),,3.4k,45.4k,1.2k,248
Ashok Leyland ,4.1,"Chennai,Tamil Nadu + 185 more",Chennai, 185,Public,74,10k-50k Employees (India),,3.5k,15.2k,,106
Shriram Transport Finance  ,4.2,"Mumbai,Maharashtra + 652 more",Mumbai, 652,Public,43,10k-50k Employees (India),,3.7k,12.4k,,89
Vivo ,4.1,"Gurgaon/Gurugram,Haryana + 324 more",Gurgaon/Gurugram, 324,Private,13,5k-10k Employees (India),,3.4k,12.5k,3,82
Sun Pharmaceutical Industries ,4.1,Mumbai + 141 more,Mumbai, 141,Public,39,10k-50k Employees (India),,3.9k,16k,109,134
Mahindra & Mahindra Financial Services ,4.3,"Mumbai,Maharashtra + 552 more",Mumbai, 552,Public,31,10k-50k Employees (India),,4.8k,11.9k,40,49
Aurobindo Pharma ,4.1,"Hyderabad/Secunderabad,Telangana + 52 more",Hyderabad/Secunderabad, 52,Public,36,10k-50k Employees (India),,3.6k,16.9k,14,108
Intelenet Global Services ,3.7,"Mumbai,Maharashtra + 57 more",Mumbai, 57,Private,22,10k-50k Employees (India),,3.3k,8.4k,,24
Wells Fargo India ,4.2,"San Francisco,California + 10 more",San Francisco, 10,Public,170,10k-50k Employees (India),,3.3k,29.8k,473,171
Hewlett-Packard Enterprise ,4.3,"Houston,Texas + 88 more",Houston, 88,Private,7,10k-50k Employees (India),,3.6k,25.1k,50,124
Fidelity National Information Services ,4.1,"Jacksonville,Florida + 32 more",Jacksonville, 32,Private,54,10k-50k Employees (India),,3.4k,27.5k,50,171
Apollo Hospitals ,4.1,"San Francisco,California + 162 more",San Francisco, 162,Public,39,50k-1 Lakh Employees (India),,5.2k,12.8k,52,115
Reliance Communications ,4,"Navi Mumbai,Maharashtra + 366 more",Navi Mumbai, 366,Public,20,10k-50k Employees (India),,4k,13k,2,40
Future Group ,4.2,"Mumbai,Maharashtra + 197 more",Mumbai, 197,Private,9,50k-1 Lakh Employees (India),,10.1k,12.5k,17,52
Bandhan Bank ,3.9,"Kolkata,West Bengal + 517 more",Kolkata, 517,Public,21,50k-1 Lakh Employees (India),,3.3k,17.6k,16,200
Siemens ,4.2,"Munich,Bavaria + 104 more",Munich, 104,Public,175,10k-50k Employees (India),,4.7k,21.2k,849,156
Nokia ,4.2,"Espoo,Southern Finland + 169 more",Espoo, 169,Private,157,10k-50k Employees (India),,4.5k,20.9k,51,123
Delhivery ,4.2,"Delhi,NCT + 450 more",Delhi, 450,Private,11,10k-50k Employees (India),,3.4k,12.9k,330,174
eClerx ,3.7,"Mumbai,Maharashtra + 16 more",Mumbai, 16,Public,22,5k-10k Employees (India),,3.1k,17.7k,26,158
Max Life Insurance ,4.2,"Gurgaon/Gurugram,Haryana + 282 more",Gurgaon/Gurugram, 282,JV,22,10k-50k Employees (India),,3k,16.8k,116,106
AU Small Finance Bank ,4.1,"Jaipur,Rajasthan + 282 more",Jaipur, 282,Private,26,10k-50k Employees (India),,4k,15k,96,166
First Source ,3.9,"Mumbai,Maharashtra + 44 more",Mumbai, 44,Public,21,10k-50k Employees (India),,3k,14.1k,175,101
TVS Motor ,4.2,"Chennai,Tamil Nadu + 236 more",Chennai, 236,Public,43,10k-50k Employees (India),,4.4k,11.7k,182,119
Oracle ,3.9,"Austin,Texas + 31 more",Austin, 31,Public,45,50k-1 Lakh Employees (India),,3.7k,41.2k,285,337
Wipro BPS ,3.8,Bengaluru + 39 more,Bengaluru, 39,,22,1 Lakh+ Employees (India),,2.9k,12.4k,,117
Tata Projects ,4.2,"Mumbai,Maharashtra + 193 more",Mumbai, 193,Public,43,10k-50k Employees (India),,3k,16k,38,150
Oyo Rooms ,3.5,"Gurgaon,Haryana + 103 more",Gurgaon, 103,Private,9,1k-5k Employees (India),,3.1k,21.9k,137,92
Hero MotoCorp ,4.3,"Gurgaon/Gurugram,Haryana + 261 more",Gurgaon/Gurugram, 261,Public,38,5k-10k Employees (India),,3k,11k,7,137
JSW Steel ,3.9,"Mumbai,Maharashtra + 90 more",Mumbai, 90,Public,40,10k-50k Employees (India),,3.1k,16.7k,10,159
Hexaware Technologies ,3.8,"Mumbai,Maharashtra + 30 more",Mumbai, 30,Public,32,10k-50k Employees (India),,2.9k,29.9k,315,192
JLL ,4.3,"Mumbai,Maharashtra + 59 more",Mumbai, 59,Private,25,10k-50k Employees (India),,2.9k,14.5k,50,90
Cyient ,3.7,"Hyderabad/Secunderabad,Telangana + 25 more",Hyderabad/Secunderabad, 25,Public,31,10k-50k Employees (India),,2.9k,18.2k,603,91
TATA Steel ,4.1,"Mumbai,Maharashtra + 121 more",Mumbai, 121,Public,115,10k-50k Employees (India),,4.5k,13.7k,38,226
Hyundai Motor ,4.1,Seoul + 220 more,Seoul, 220,Private,55,10k-50k Employees (India),,3.8k,10.6k,6,98
Bosch ,4.2,"Gerlingen,Baden-Wuerttemberg + 83 more",Gerlingen, 83,Public,136,10k-50k Employees (India),,6.1k,14.2k,13,135
JustDial ,3.5,"Mumbai,Maharashtra + 124 more",Mumbai, 124,Public,26,10k-50k Employees (India),,2.8k,13.4k,69,122
iEnergizer ,3.6,"Noida,Uttar Pradesh + 14 more",Noida, 14,Private,22,5k-10k Employees (India),,2.7k,12k,50,122
Atos Syntel ,3.7,"Troy,Michigan + 15 more",Troy, 15,Private,42,10k-50k Employees (India),,4.5k,24.9k,41,111
Quess ,3.9,Bangalore + 318 more,Bangalore, 318,Public,15,10k-50k Employees (India),,8.5k,16.7k,199,141
Samsung ,4,Seoul + 350 more,Seoul, 350,Public,84,10k-50k Employees (India),,7.3k,25.8k,133,231
Megha Engineering & Infrastructures ,4.2,"Hyderabad/Secunderabad,Telangana + 194 more",Hyderabad/Secunderabad, 194,Private,33,1k-5k Employees (India),,2.6k,12.1k,6,165
Manappuram Finance ,4,"Thrissur/Trichur,Kerala + 382 more",Thrissur/Trichur, 382,Public,73,10k-50k Employees (India),,3.3k,8k,7,53
L&T Construction ,4.2,Chennai + 260 more,Chennai, 260,Public,78,10k-50k Employees (India),,3.4k,11.6k,,260
Viatris ,4.3,"Canonsburg,Pennsylvania + 62 more",Canonsburg, 62,,61,10k-50k Employees (India),,2.5k,10k,4,55
