Company Name,Rating,Locations,Headquarter,Number of locations,Public or private,How long since founded,Number of employees,Number of reviews,Amount of salaries,Number of jobs,Number of interviews,Country,Continent
Indo Count Industries ,4,"Mumbai,Maharashtra + 9 more",Mumbai,10,Public,34,1k-5k Employees (India),106000,589000,2,3,India,Asia
Solaris Chemtech ,4.5,Gurgaon + 10 more,Gurgaon,10,Private,52,201-500 Employees (India),106000,351000,0,4,India,Asia
Shipping Corporation of India ,4.1,Mumbai + 5 more,Mumbai,5,Private,61,1k-5k Employees (India),106000,384000,0,2,India,Asia
Tiger Analytics ,4.2,Santa Clara + 4 more,Santa,4,Private,11,1k-5k Employees (India),106000,2000,85,45,Philippines,Asia
Toyo INK ,4.2,Tokyo + 11 more,Tokyo,11,Private,16,11-50 Employees (India),106000,528000,0,2,Japan,Asia
Crimson Interactive ,4,"New York,New York + 2 more",New York,3,Private,17,501-1k Employees (India),106000,570000,41,9,United States of America,Americas
STPL ,4.5,San Mateo + 20 more,San,20,Private,18,51-200 Employees (India),106000,322000,0,0,Mali,Africa
Ensono ,4,"Downers Grove,Illinois + 4 more",Downers Grove,5,Private,53,1k-5k Employees (India),106000,1200,7,3,United States of America,Americas
Niine  ,3.7,"Gurgaon,Haryana + 33 more",Gurgaon,34,,4,51-200 Employees (India),106000,461000,6,5,India,Asia
Star Agriwarehousing and Collateral Management ,4.3,"Mumbai,Maharashtra + 37 more",Mumbai,38,Public,16,201-500 Employees (India),106000,345000,2,1,India,Asia
