Company Name,Rating,Locations,Headquarter,Number of locations,Public or private,How long since founded,Number of employees,Number of reviews,Amount of salaries,Number of jobs,Number of interviews,Country,Continent
 UNITILE ,4.7,"Mumbai,Maharashtra + 12 more",Mumbai,13,Private,28,51-200 Employees (India),127000,65000,2,0,India,Asia
Milkbasket ,4.1,"Gurgaon,Haryana + 8 more",Gurgaon,9,Private,7,501-1k Employees (India),106000,645000,84,5,India,Asia
Digital Nirvana Information Systems ,4,"Fremont,California",Fremont,#VALUE!,Private,26,201-500 Employees (India),105000,494000,2,1,United States of America,Americas
Dr Oetker ,4.3,Bielefeld + 21 more,Bielefeld,21,,131,51-200 Employees (India),105000,434000,0,3,Germany,Europe
Bright Life Care ,4.4,"Gurgaon,Haryana + 25 more",Gurgaon,26,Private,11,51-200 Employees (India),105000,496000,14,2,India,Asia
Dbs Mintek ,3.6,Pune + 7 more,Pune,7,,14,1k-5k Employees (India),105000,862000,13,6,India,Asia
Vnr Seeds ,4,Raipur + 16 more,Raipur,16,,18,51-200 Employees (India),105000,410000,2,5,India,Asia
Root Industries ,4.1,"Coimbatore,Tamil Nadu + 6 more",Coimbatore,7,Private,52,1k-5k Employees (India),105000,663000,0,2,India,Asia
SBI Payment Services ,4.3,"Mumbai,Maharashtra + 48 more",Mumbai,49,Government,12,1k-5k Employees (India),105000,714000,6,4,India,Asia
Tulip Diagnostics ,4.3,Goa + 30 more,Goa,30,Private,34,1k-5k Employees (India),105000,375000,0,4,Philippines,Asia
Simpson ,3.8,Chennai + 2 more,Chennai,2,,182,201-500 Employees (India),105000,655000,1,3,India,Asia
Smart Drive Systems ,3.7,"San Diego,California",San Diego,#VALUE!,Private,18,201-500 Employees (India),105000,506000,12,2,United States of America,Americas
CIBERsites India ,3.3,Troy + 3 more,Troy,3,Private,48,501-1k Employees (India),105000,1200,0,1,United States of America,Americas
Aspiro Pharma ,3.7,"Bangalore,Karnataka",Bangalore,#VALUE!,Private,10,51-200 Employees (India),105000,519000,2,2,India,Asia
Tata Ficosa Automotive Systems ,4.1,Pune + 9 more,Pune,9,,24,201-500 Employees (India),105000,418000,0,2,India,Asia
Naprod Life Sciences ,3.6,Mumbai + 5 more,Mumbai,5,Private,16,201-500 Employees (India),105000,591000,12,3,India,Asia
Bombay Stock Exchange ,4,Mumbai + 7 more,Mumbai,7,,147,1k-5k Employees (India),105000,820000,0,4,India,Asia
Hyperquality ,2.8,Seattle + 6 more,Seattle,6,Private,19,501-1k Employees (India),105000,209000,0,0,United States of America,Americas
Saija Finance ,4,"Patna,Bihar + 22 more",Patna,23,Private,15,501-1k Employees (India),105000,336000,2,1,India,Asia
Vitromed Healthcare ,4.2,"Jaipur,Rajasthan + 4 more",Jaipur,5,Private,50,51-200 Employees (India),105000,342000,5,2,India,Asia
HMSHost ,4,"Bethesda,Maryland + 8 more",Bethesda,9,Private,125,201-500 Employees (India),105000,399000,8,3,United States of America,Americas
Dotsquares ,3.6,London + 1 more,London,1,Private,20,1k-5k Employees (India),105000,1100,44,7,United Kingdom,Europe
Trimble ,4.3,"Sunnyvale,California + 7 more",Sunnyvale,8,Private,44,1k-5k Employees (India),105000,1000,43,5,United States of America,Americas
Harsco ,4,"Camp Hill,Pennsylvania + 7 more",Camp Hill,8,Private,169,201-500 Employees (India),105000,632000,38,8,United States of America,Americas
Roots Multiclean ,4,"Coimbatore,Tamil Nadu + 22 more",Coimbatore,23,Public,30,1k-5k Employees (India),105000,717000,26,6,India,Asia
Institute of Chemical Technology ,4.2,Mumbai + 22 more,Mumbai,22,Private,89,501-1k Employees (Global),105000,373000,0,0,India,Asia
Rave Technologies ,3.7,"Mumbai,Maharashtra + 3 more",Mumbai,4,Private,35,501-1k Employees (India),105000,921000,9,3,India,Asia
CloudMoyo ,4.5,"Bellevue,Washington",Bellevue,#VALUE!,Private,7,201-500 Employees (India),104000,702000,7,4,United States of America,Americas
Oaknet Healthcare ,3.9,"Mumbai,Maharashtra + 24 more",Mumbai,25,Private,7,201-500 Employees (India),104000,442000,46,2,India,Asia
Datawind Innovations ,2.9,Mississauga + 10 more,Mississauga,10,Private,21,1-10 Employees (India),104000,133000,0,0,Canada,Americas
Merit Software Services ,3.9,London + 2 more,London,2,Private,18,51-200 Employees (India),104000,826000,3,0,United Kingdom,Europe
Translumina Therapeutics ,4.6,"Delhi,NCT + 8 more",Delhi,9,LLP,12,201-500 Employees (India),104000,212000,0,4,India,Asia
CTR Manufacturing Industries ,3.4,"Pune,Maharashtra + 8 more",Pune,9,Public,58,51-200 Employees (India),104000,573000,0,3,India,Asia
Municipal Corporation of Greater Mumbai ,4.2,Mumbai + 3 more,Mumbai,3,Public,134,1 Lakh+ Employees (India),104000,313000,0,1,India,Asia
Sajjan India ,3.6,Mumbai + 4 more,Mumbai,4,Public,117,51-200 Employees (India),104000,687000,1,6,India,Asia
Linfox Logistics ,4.3,"Mumbai,Maharashtra + 19 more",Mumbai,20,Private,66,51-200 Employees (India),104000,327000,4,1,India,Asia
Msc Cruises ,4.6,Geneva + 5 more,Geneva,5,,34,501-1k Employees (India),104000,224000,0,2,Switzerland,Europe
Kanakia Spaces ,3.6,"Mumbai,Maharashtra",Mumbai,#VALUE!,Private,36,51-200 Employees (India),104000,429000,0,0,India,Asia
Keppel Offshore & Marine ,3.8,Mumbai + 11 more,Mumbai,11,Private,20,51-200 Employees (India),104000,254000,3,1,India,Asia
NGK Spark Plugs ,4.1,"Nagoya,Aichi-ken + 10 more",Nagoya,11,Private,16,201-500 Employees (India),104000,508000,0,8,Japan,Asia
The MobileStore ,4.5,"Mumbai,Maharashtra + 23 more",Mumbai,24,Public,16,501-1k Employees (India),104000,287000,0,3,India,Asia
Janatics India ,4,"Coimbatore,Tamil Nadu + 20 more",Coimbatore,21,Private,45,501-1k Employees (India),104000,625000,26,5,India,Asia
SAVA Healthcare ,4.4,"Pune,Maharashtra + 6 more",Pune,7,Public,19,501-1k Employees (India),104000,385000,7,5,India,Asia
Ramky Group ,4.2,"Issy-les-moulineaux,Hauts-de-seine + 26 more",Issy-les-moulineaux,27,Private,28,50k-1 Lakh Employees (India),838000,337000,0,3,France,Europe
Celebi Ground Handling ,4.2,Istanbul + 9 more,Istanbul,9,Private,64,51-200 Employees (India),497000,351000,0,2,Turkey,Asia
Western Digital ,4.1,"San Jose,California + 7 more",San Jose,8,Private,52,1k-5k Employees (India),110000,1400,0,17,United States of America,Americas
 EagleBurgmann ,3.7,Wolfratshausen + 13 more,Wolfratshausen,13,Private,138,501-1k Employees (India),103000,484000,0,4,Germany,Europe
Cadeploy Engineering ,2.7,"San Ramon,California + 4 more",San Ramon,5,Private,10,501-1k Employees (India),103000,532000,8,3,United States of America,Americas
Brinks Arya India ,4.1,"Coppell,Texas + 26 more",Coppell,27,Private,41,51-200 Employees (India),103000,335000,0,1,United States of America,Americas
Pahal Financial Services ,4.4,Ahmedabad + 31 more,Ahmedabad,31,Private,28,1k-5k Employees (India),103000,409000,0,8,India,Asia
Apache Footwear ,4,Nellore + 5 more,Nellore,5,Private,31,51-200 Employees (India),103000,373000,4,7,India,Asia
Matix Fertilisers & Chemicals ,4,"Mumbai,Maharashtra + 10 more",Mumbai,11,Private,13,501-1k Employees (India),103000,491000,0,7,India,Asia
Pacific Cyber Technology ,3.8,Mumbai + 4 more,Mumbai,4,,7,201-500 Employees (India),103000,532000,2,2,India,Asia
Parker Hannifin ,4.3,"Cleveland,Ohio + 10 more",Cleveland,11,Private,105,1k-5k Employees (India),103000,569000,0,2,United States of America,Americas
Adlabs Imagica ,4,"Mumbai,Maharashtra + 5 more",Mumbai,6,Private,12,201-500 Employees (India),103000,383000,0,2,India,Asia
India Pistons ,3.8,"Chennai,Tamil Nadu + 4 more",Chennai,5,Public,73,1k-5k Employees (India),103000,544000,0,4,India,Asia
Prothious Engineering Services ,3.7,"Mumbai,Maharashtra + 4 more",Mumbai,5,Private,17,1k-5k Employees (India),103000,330000,0,0,India,Asia
Emrill Services LLC ,4.4,Dubai + 2 more,Dubai,2,,20,5k-10k Employees (Global),103000,155000,0,3,United Arab Emirates,Asia
MM Forgings ,4,"Chennai,Tamil Nadu + 12 more",Chennai,13,Public,76,1k-5k Employees (India),103000,890000,0,4,India,Asia
Astegic ,4.5,"Falls Church,Virginia + 1 more",Falls Church,2,Private,19,51-200 Employees (India),103000,284000,37,6,United States of America,Americas
Toyota Kirloskar Auto Parts ,4.4,Bangalore + 5 more,Bangalore,5,,20,201-500 Employees (India),103000,364000,0,2,India,Asia
Deep Industries ,2.7,"Ahmedabad,Gujarat + 8 more",Ahmedabad,9,Public,31,51-200 Employees (India),103000,618000,2,5,India,Asia
Quale Infotech ,4.8,"New Delhi,Delhi + 8 more",New Delhi,9,Private,5,51-200 Employees (India),103000,93000,6,0,India,Asia
Marathon Electric India ,3.9,"Las Vegas,Nevada + 10 more",Las Vegas,11,,109,201-500 Employees (India),103000,472000,9,5,United States of America,Americas
Chetak Enterprises ,3.7,"Mumbai,Maharashtra + 14 more",Mumbai,15,Public,22,51-200 Employees (India),102000,391000,0,0,India,Asia
Essel Mining & Industries ,4.3,Mumbai + 10 more,Mumbai,10,Private,72,1k-5k Employees (India),102000,368000,0,3,India,Asia
Suminter India Organics ,4,"Mumbai,Maharashtra + 10 more",Mumbai,11,Private,18,201-500 Employees (India),102000,498000,17,5,India,Asia
Leena Powertech Engineers ,3.4,Mumbai + 6 more,Mumbai,6,Private,27,51-200 Employees (India),102000,385000,4,3,India,Asia
Dream Plast India ,3.6,Pune + 3 more,Pune,3,,13,201-500 Employees (India),102000,558000,3,7,India,Asia
Emerson Innovation Center ,4.2,Pune,Pune,1,,19,201-500 Employees (India),102000,938000,0,6,India,Asia
Texport Industries ,4.1,"Mumbai,Maharashtra + 8 more",Mumbai,9,Private,44,1k-5k Employees (India),102000,425000,3,2,India,Asia
SEForge ,3.6,Coimbatore + 4 more,Coimbatore,4,Private,16,201-500 Employees (India),102000,649000,0,2,India,Asia
Pharmarack Technologies ,4,"Pune,Maharashtra + 13 more",Pune,14,Private,7,51-200 Employees (India),102000,550000,3,3,India,Asia
Spectraforce Technologies ,3.6,Raleigh + 7 more,Raleigh,7,Private,18,501-1k Employees (India),102000,644000,26,14,United States of America,Americas
Black & Veatch ,4.3,Overland Park + 9 more,Overland,9,Private,107,501-1k Employees (India),102000,561000,10,2,United States of America,Americas
Tata Main Hospital ,3.6,Jamshedpur + 5 more,Jamshedpur,5,,114,1k-5k Employees (Global),102000,337000,0,10,India,Asia
Mindcrest ,2.7,"Chicago,Illinois + 1 more",Chicago,2,Private,21,201-500 Employees (India),102000,561000,1,2,United States of America,Americas
Anna University ,4.2,"Chennai,Tamil Nadu + 11 more",Chennai,12,Private,44,1k-5k Employees (India),102000,519000,0,5,India,Asia
Armstrong International ,4,"Three Rivers,MI + 17 more",Three Rivers,18,Private,122,51-200 Employees (India),102000,452000,3,3,United States of America,Americas
Etihad Airways ,4.3,Abu Dhabi + 11 more,Abu,11,Private,19,51-200 Employees (India),102000,332000,0,4,India,Asia
Network Techlab ,4.1,"Mumbai,Maharashtra + 7 more",Mumbai,8,,26,501-1k Employees (India),102000,501000,23,3,India,Asia
Kopran ,4.1,"Mumbai,Maharashtra + 11 more",Mumbai,12,Public,64,501-1k Employees (India),102000,604000,1,2,India,Asia
Noccarc Robotics ,4.6,"Pune,Maharashtra + 2 more",Pune,3,Private,5,51-200 Employees (India),102000,116000,20,1,India,Asia
Boston Scientific ,4.2,"Marlborough,Massachusetts + 11 more",Marlborough,12,Private,43,1k-5k Employees (India),112000,772000,3,8,United Kingdom,Europe
JP Infra ,3.9,Mumbai + 5 more,Mumbai,5,Private,16,201-500 Employees (India),101000,628000,14,4,India,Asia
Lanson Toyota ,4.1,Chennai + 5 more,Chennai,5,Private,22,1k-5k Employees (India),101000,344000,0,3,India,Asia
Shaze Luxury Retail ,3.1,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,12,51-200 Employees (India),101000,375000,5,4,India,Asia
Hathi Cement ,4.2,Mumbai + 11 more,Mumbai,11,Private,66,501-1k Employees (India),101000,491000,5,3,India,Asia
Amar Cars ,3.8,"Vadodara,Gujarat + 10 more",Vadodara,11,Private,16,501-1k Employees (India),101000,378000,4,4,India,Asia
Rubicon Research ,3.9,"Atlanta,Georgia + 7 more",Atlanta,8,Private,23,201-500 Employees (India),101000,839000,0,5,United States of America,Americas
Unimark Remedies ,3,Mumbai + 7 more,Mumbai,7,Private,40,201-500 Employees (India),101000,370000,0,1,India,Asia
BSR ,3.6,San Francisco + 17 more,San,17,Private,30,1k-5k Employees (Global),101000,945000,0,4,Mali,Africa
Innoplexus ,4.5,"Eschborn,Hessen",Eschborn,#VALUE!,Private,7,201-500 Employees (India),101000,146000,16,2,Germany,Europe
Care IT Solutions ,3.3,Chennai + 11 more,Chennai,11,Private,19,1k-5k Employees (Global),101000,131000,0,0,India,Asia
Sofitel Luxury Hotel ,4.7,Paris + 6 more,Paris,6,,58,1k-5k Employees (India),101000,288000,0,4,France,Europe
Smith & Nephew Healthcare ,3.8,"Mumbai,Maharashtra + 12 more",Mumbai,13,Private,166,51-200 Employees (India),101000,892000,0,3,India,Asia
Maharashtra Natural GAS ,3.9,Pune + 4 more,Pune,4,Private,16,501-1k Employees (India),101000,612000,0,2,India,Asia
SCM Garments ,4,"Agartala,Tripura + 7 more",Agartala,8,Private,33,501-1k Employees (India),101000,557000,0,5,India,Asia
WM Logistics ,4,Houstan,Houstan,1,Private,11,501-1k Employees (India),101000,439000,51,2,United States of America,Americas
Pittie Group ,3.3,"Mumbai,Maharashtra + 21 more",Mumbai,22,Private,31,51-200 Employees (India),101000,426000,1,8,India,Asia
OASYS Cybernetics ,3.9,"Chennai,Tamil Nadu + 11 more",Chennai,12,Private,22,201-500 Employees (India),101000,806000,9,7,India,Asia
Namdev Finvest ,4.7,"Jaipur,Rajasthan + 18 more",Jaipur,19,Private,25,51-200 Employees (India),101000,107000,3,3,India,Asia
SNVA Ventures ,3.8,Waldorf + 3 more,Waldorf,3,Private,13,201-500 Employees (India),101000,383000,70,7,United States of America,Americas
TestingXperts ,3.7,"Mechanicsburg,Pennsylvania + 3 more",Mechanicsburg,4,Private,26,201-500 Employees (India),118000,1000,35,12,United States of America,Americas
Viztar International ,3.1,"Mumbai,Maharashtra + 12 more",Mumbai,13,Private,15,501-1k Employees (India),100000,484000,1,2,India,Asia
Panda Retail Company ,4.3,Jeddah + 7 more,Jeddah,7,Private,44,1-10 Employees (India),100000,139000,0,1,Saudi Arabia,Asia
Shri Bajrang Power & Ispat ,4.3,Mumbai + 5 more,Mumbai,5,Public,20,1k-5k Employees (India),100000,475000,0,4,India,Asia
Reliance Naval and Engineering ,3.7,"Mumbai,Maharashtra + 10 more",Mumbai,11,Private,15,5k-10k Employees (India),100000,357000,0,0,India,Asia
Biesse Manufacturing ,4,"Pesaro,Pesaro + 6 more",Pesaro,7,Private,53,501-1k Employees (India),100000,633000,5,11,Italy,Europe
Bhansali Engineering Polymers  ,3.3,"Mumbai,Maharashtra + 7 more",Mumbai,8,Public,38,501-1k Employees (India),100000,415000,0,4,India,Asia
AIDA Cruises ,4.7,Rostock + 6 more,Rostock,6,Private,26,201-500 Employees (India),100000,140000,0,3,Germany,Europe
Swiss Garnier Life Sciences ,4.2,"Chennai,Tamil Nadu + 4 more",Chennai,5,Private,17,201-500 Employees (India),100000,455000,3,6,India,Asia
FSS ,3.5,"Chennai,Tamil Nadu + 13 more",Chennai,14,Private,31,1k-5k Employees (India),100000,695000,17,6,India,Asia
STMicroelectronics ,4.2,"Geneva,Geneva + 4 more",Geneva,5,Private,35,1k-5k Employees (India),100000,665000,0,2,Switzerland,Europe
Health Prime Services (India) ,3.9,Mumbai + 1 more,Mumbai,1,Private,19,201-500 Employees (India),100000,330000,7,2,India,Asia
Polaris ,3.4,"Medina,Minnesota + 10 more",Medina,11,Private,11,201-500 Employees (India),100000,754000,0,10,Saudi Arabia,Asia
Monginis Foods ,3.7,"Mumbai,Maharashtra + 19 more",Mumbai,20,Private,62,501-1k Employees (India),100000,460000,5,4,India,Asia
J. C. Penney ,4.5,"Plano,Texas + 5 more",Plano,6,Private,120,501-1k Employees (India),100000,1100,16,4,United States of America,Americas
Madura Garments ,3.7,Bangalore + 25 more,Bangalore,25,Private,34,51-200 Employees (India),100000,227000,0,1,India,Asia
Ritu Kumar ,3.7,Gurgaon + 21 more,Gurgaon,21,Private,53,501-1k Employees (India),100000,477000,0,3,India,Asia
AYM Syntex ,4.1,"Mumbai,Maharashtra + 4 more",Mumbai,5,Public,37,1k-5k Employees (India),100000,419000,0,2,India,Asia
Bull Machines ,3.9,"Coimbatore,Tamil Nadu + 19 more",Coimbatore,20,Private,60,501-1k Employees (India),100000,517000,0,5,India,Asia
Qube Cinema Technologies ,4.2,"Chennai,Tamil Nadu + 8 more",Chennai,9,Private,18,501-1k Employees (India),100000,478000,3,2,India,Asia
Modern V.R. Security Force ,4.4,Mumbai + 29 more,Mumbai,29,Private,38,51-200 Employees (India),100000,323000,0,1,India,Asia
STT Global Data Centres India ,4.2,Mumbai + 11 more,Mumbai,11,,18,501-1k Employees (India),100000,554000,0,7,India,Asia
Aia Engineering ,4.1,"Ahmedabad,Gujrat + 2 more",Ahmedabad,3,Public,43,1k-5k Employees (India),99000,545000,0,5,India,Asia
Renewsys India ,4.2,Mumbai + 7 more,Mumbai,7,,11,201-500 Employees (India),99000,545000,17,2,India,Asia
Dunkin' Donuts ,4.3,Canton + 17 more,Canton,17,,72,1k-5k Employees (Global),99000,166000,0,0,United States of America,Americas
Weikfield Foods ,4.1,Pune + 22 more,Pune,22,Private,66,501-1k Employees (India),99000,449000,0,0,India,Asia
Narayana Medical College & Hospital ,4.1,Nellore + 5 more,Nellore,5,Private,43,1k-5k Employees (India),99000,301000,0,2,India,Asia
Oman National Engineering & Investment Company ,4,Muscat + 5 more,Muscat,5,,44,1k-5k Employees (Global),99000,280000,0,0,Oman,Asia
Lilavati Hospital & Research Centre ,4.1,"Mumbai,Maharashtra + 6 more",Mumbai,7,Private,25,1k-5k Employees (India),99000,347000,2,1,India,Asia
Fipola Retail ,4.6,"Chennai,Tamil Nadu + 5 more",Chennai,6,Private,6,1k-5k Employees (India),99000,198000,1,1,India,Asia
Ashish Life Science ,4.5,"Mumbai,Maharashtra + 3 more",Mumbai,4,Private,47,51-200 Employees (India),99000,255000,0,4,India,Asia
Hindustan Foods ,3.8,"Mumbai,Maharashtra + 14 more",Mumbai,15,Public,34,1k-5k Employees (India),99000,860000,2,9,India,Asia
Rajdeep Buildcon ,4.2,Pune + 15 more,Pune,15,Private,30,1k-5k Employees (India),99000,315000,0,0,India,Asia
doodleblue innovation ,4.6,"Chennai,Tamil Nadu",Chennai,#VALUE!,Private,11,201-500 Employees (India),99000,457000,12,4,India,Asia
Sigma Freudenberg NOK ,4.4,"Milan,Ohio + 9 more",Milan,10,Private,22,1k-5k Employees (India),99000,554000,0,1,Italy,Europe
ExcelSoft Technologies ,3.7,"Mysore,Karnataka + 2 more",Mysore,3,Private,22,501-1k Employees (India),99000,779000,15,5,India,Asia
RS Software ,3.9,Milpitas + 2 more,Milpitas,2,Public,31,201-500 Employees (India),99000,429000,4,2,United States of America,Americas
Regus ,3.1,Luxembourg City + 18 more,Luxembourg,18,Private,33,1k-5k Employees (India),99000,407000,0,0,Luxembourg,Europe
Software AG ,4.4,"Darmstadt,Hesse + 6 more",Darmstadt,7,Private,53,1k-5k Employees (Global),101000,1100,23,8,Germany,Europe
Appcino Technologies ,4.1,"Jaipur,Rajasthan + 14 more",Jaipur,15,Private,9,201-500 Employees (India),98000,223000,9,3,India,Asia
Mayasheel Retail Llp ,3.8,Gurgaon + 27 more,Gurgaon,27,Public,7,51-200 Employees (India),98000,344000,4,6,India,Asia
Cape East ,3.4,Montpellier + 7 more,Montpellier,7,,129,10k-50k Employees (Global),98000,193000,0,3,France,Europe
Al Naboodah ,4.7,Dubai + 8 more,Dubai,8,,64,10k-50k Employees (Global),98000,133000,0,2,United Arab Emirates,Asia
Velan Info Services ,4.4,"Dover,Delaware + 1 more",Dover,2,Private,15,201-500 Employees (India),98000,300000,29,0,United States of America,Americas
Global Cloud Xchange ,3.6,Hamilton + 5 more,Hamilton,5,Private,34,501-1k Employees (India),98000,705000,1,2,Bermuda,Americas
Supreme Infrastructure ,3.5,Mumbai + 15 more,Mumbai,15,Public,39,1k-5k Employees (India),98000,269000,2,0,India,Asia
Architect Hafeez Contractor ,3.8,Mumbai + 3 more,Mumbai,3,Private,40,201-500 Employees (India),98000,276000,3,3,India,Asia
ETA ASCON Group ,4.4,Dubai + 12 more,Dubai,12,Private,49,50k-1 Lakh Employees (Global),98000,87000,0,1,United Arab Emirates,Asia
Jotun Paints ,4.1,Sandefjord + 18 more,Sandefjord,18,Private,96,201-500 Employees (India),98000,351000,7,4,Norway,Europe
Virinchi Technologies ,3.4,Edison + 2 more,Edison,2,Private,31,1k-5k Employees (India),98000,782000,14,1,United States of America,Americas
Gunnebo ,4.1,"Gothenburg,Vastra Gotaland + 10 more",Gothenburg,11,Private,90,1k-5k Employees (India),98000,454000,0,2,Sweden,Europe
Trigyn Technologies ,3.9,"Edison,New Jersey + 6 more",Edison,7,Public,36,501-1k Employees (India),98000,872000,16,7,United States of America,Americas
