,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
134,Nagarro ,4.5,"Munich,Bavaria + 30 more",Munich,31,Private,26,10k-50k Employees (India),2400,13800,160,266,Germany,Europe,51.165691,10.451526
135,Wipro Infotech ,4.0,Bangalore + 116 more,Bangalore,116,Private,77,1 Lakh+ Employees (Global),2300,3900,0,48,India,Asia,20.593684,78.96288
136,State Bank of India ,3.9,"Mumbai,Maharashtra + 336 more",Mumbai,337,,216,1 Lakh+ Employees (India),4700,9600,142,100,India,Asia,20.593684,78.96288
137,ICICI Lombard General Insurance Company ,3.9,"Mumbai,Maharashtra + 195 more",Mumbai,196,Public,21,10k-50k Employees (India),2300,12900,118,78,India,Asia,20.593684,78.96288
138,Schneider Electric ,4.2,Paris + 78 more,Paris,78,Private,23,10k-50k Employees (India),3800,14300,191,110,France,Europe,46.227638,2.213749
139,Tata Communications ,4.2,"Mumbai,Maharashtra + 87 more",Mumbai,88,Public,36,10k-50k Employees (India),3100,15900,382,95,India,Asia,20.593684,78.96288
140,Amdocs ,4.1,"Chesterfield,Missouri + 12 more",Chesterfield,13,Private,40,10k-50k Employees (India),2200,25500,0,226,United States of America,Americas,,
141,Bosch Global Software Technologies ,4.2,Gerlingen + 20 more,Gerlingen,20,Private,23,10k-50k Employees (India),2200,22700,698,88,Germany,Europe,51.165691,10.451526
142, UST ,4.1,"Aliso Viejo,California + 32 more",Aliso Viejo,33,Private,21,10k-50k Employees (India),2500,26100,128,147,United States of America,Americas,,
143,Muthoot Fincorp ,4.0,"Trivandrum/Thiruvananthapuram,Kerala + 419 more",Trivandrum/Thiruvananthapuram,420,Private,135,10k-50k Employees (India),2200,8400,61,60,India,Asia,20.593684,78.96288
144,Ford Motor ,4.6,"Dearborn,Michigan + 101 more",Dearborn,102,Public,119,10k-50k Employees (India),2600,11300,8,41,United States of America,Americas,,
145,Flex ,4.2,San Jose + 35 more,San,35,Private,53,10k-50k Employees (India),2200,14600,5,73,Mali,Africa,17.570692,-3.996166
146,Dell ,4.2,"Round Rock,Texas + 82 more",Round Rock,83,Private,38,10k-50k Employees (India),3600,19800,432,145,United States of America,Americas,,
147,Whitehat jr ,3.8,"Mumbai,Maharashtra + 44 more",Mumbai,45,Private,4,5k-10k Employees (India),2200,8300,536,228,India,Asia,20.593684,78.96288
148,John Deere ,4.4,"Moline,Illinois + 98 more",Moline,99,Private,21,5k-10k Employees (India),2400,9700,9,91,United States of America,Americas,,
149,Indiamart Intermesh ,3.7,"Noida,Uttar Pradesh + 101 more",Noida,102,Private,26,10k-50k Employees (India),2300,12400,437,186,India,Asia,20.593684,78.96288
150,LG Electronics ,4.1,"Seoul,Seoul + 184 more",Seoul,185,Public,64,10k-50k Employees (India),2200,8400,1,69,South Korea,Asia,35.907757,127.766922
151,Motherson Sumi Systems ,3.9,"Noida,Uttar Pradesh + 61 more",Noida,62,Public,36,5k-10k Employees (India),3500,10100,3,72,India,Asia,20.593684,78.96288
152,Ecom Express ,4.3,"Gurgaon,Haryana + 460 more",Gurgaon,461,Private,10,10k-50k Employees (India),2200,7300,57,83,India,Asia,20.593684,78.96288
153,Hetero Drugs ,4.0,"Hyderabad/Secunderabad,Telangana + 32 more",Secunderabad,33,Private,29,1k-5k Employees (India),2500,9900,34,92,India,Asia,20.593684,78.96288
154,L&T Financial Services ,4.0,"Mumbai,Maharashtra + 378 more",Mumbai,379,Public,28,10k-50k Employees (India),2200,10200,6,43,India,Asia,20.593684,78.96288
155,Sodexo ,4.1,Issy Les Moulineaux + 106 more,Issy-les-Moulineaux,106,Private,14,5k-10k Employees (India),2300,7900,116,59,France,Europe,46.227638,2.213749
156,BigBasket ,4.2,"Bangalore,Karnataka + 78 more",Bangalore,79,Private,11,5k-10k Employees (India),2200,10400,32,134,India,Asia,20.593684,78.96288
157,SBI Life Insurance Company ,3.9,"Mumbai,Maharashtra + 410 more",Mumbai,411,Government,21,10k-50k Employees (India),2100,11800,3,70,India,Asia,20.593684,78.96288
158,KEC International ,4.2,"Mumbai,Maharashtra + 203 more",Mumbai,204,Public,77,5k-10k Employees (India),2100,8500,1,105,India,Asia,20.593684,78.96288
159,Cholamandalam Investment & Finance ,4.2,"Chennai,Tamil Nadu + 473 more",Chennai,474,Private,44,5k-10k Employees (India),2100,9000,0,51,India,Asia,20.593684,78.96288
160,GlobalLogic ,4.0,"San Jose,California + 25 more",San Jose,26,Private,22,1k-5k Employees (India),2100,19000,190,151,United States of America,Americas,,
161,Hindustan Coca Cola Beverages ,4.4,Bangalore + 165 more,Bangalore,165,Private,25,5k-10k Employees (India),2100,6200,27,38,India,Asia,20.593684,78.96288
162,Thermax ,4.3,"Pune,Maharashtra + 121 more",Pune,122,Public,42,1k-5k Employees (India),2300,9600,31,79,India,Asia,20.593684,78.96288
163,Intas Pharmaceuticals ,4.3,"Ahmedabad,Gujrat + 97 more",Ahmedabad,98,Private,22,10k-50k Employees (India),2100,10800,28,72,India,Asia,20.593684,78.96288
164,Muthoot Group ,3.7,"Wedel,Schleswig-holstein + 324 more",Wedel,325,Public,135,1k-5k Employees (India),4500,4100,0,34,Germany,Europe,51.165691,10.451526
165,Wipro Enterprises Ltd ,3.9,Bangalore + 66 more,Bangalore,66,,77,1 Lakh+ Employees (India),31200,3900,0,62,India,Asia,20.593684,78.96288
166,Arvind Group ,4.1,"Ahmedabad,Gujrat + 128 more",Ahmedabad,129,Public,91,10k-50k Employees (India),2400,6700,24,28,India,Asia,20.593684,78.96288
167,Atos ,3.9,"Vilnius,Vilniaus Apskritis + 31 more",Vilnius,32,Private,25,10k-50k Employees (India),7600,20500,2,106,Lithuania,Europe,55.169438,23.881275
168,Macleods Pharmaceuticals ,4.0,"Mumbai,Maharashtra + 75 more",Mumbai,76,Public,36,5k-10k Employees (India),2000,10200,6,61,India,Asia,20.593684,78.96288
169,Shoppers Stop ,4.3,"Mumbai,Maharashtra + 55 more",Mumbai,56,Public,31,5k-10k Employees (India),2000,6600,15,41,India,Asia,20.593684,78.96288
170,Indian Air Force ,4.6,"New Delhi,Delhi + 99 more",New Delhi,100,Private,90,1 Lakh+ Employees (India),2000,4400,0,13,India,Asia,20.593684,78.96288
171,Virtusa Consulting Services ,3.8,"Southborough,Massachusetts + 23 more",Southborough,24,Private,26,5k-10k Employees (India),2000,28500,702,158,United States of America,Americas,,
172,Suzlon Group ,4.2,"Pune,Maharashtra + 84 more",Pune,85,Public,27,5k-10k Employees (India),1900,7300,9,50,India,Asia,20.593684,78.96288
173,Swiggy ,4.1,"Bangalore,Karnataka + 132 more",Bangalore,133,Private,8,10k-50k Employees (India),2200,13900,297,125,India,Asia,20.593684,78.96288
174,Glenmark Pharmaceuticals ,4.1,"Mumbai,Maharashtra + 106 more",Mumbai,107,Public,45,10k-50k Employees (India),1900,9000,81,52,India,Asia,20.593684,78.96288
175,CMS IT Services ,3.2,"Bangalore,Karnataka + 115 more",Bangalore,116,Private,8,5k-10k Employees (India),1900,9600,83,52,India,Asia,20.593684,78.96288
176,McDonald's ,4.3,"Chicago,Illinois + 117 more",Chicago,118,Private,67,5k-10k Employees (India),1900,4600,19,38,United States of America,Americas,,
177,Randstad ,4.1,"Chennai,Tamil Nadu + 201 more",Chennai,202,Private,30,1k-5k Employees (India),1900,8800,1800,96,India,Asia,20.593684,78.96288
178,Deutsche Bank ,4.3,Frankfurt + 29 more,Frankfurt,29,Private,152,10k-50k Employees (India),2100,18100,1,139,Germany,Europe,51.165691,10.451526
179,Alkem Laboratories ,4.1,"Mumbai,Maharashtra + 117 more",Mumbai,118,Public,49,10k-50k Employees (India),1900,7100,43,65,India,Asia,20.593684,78.96288
180,Pidilite Industries ,4.4,"Mumbai,Maharashtra + 171 more",Mumbai,172,Public,63,5k-10k Employees (India),2000,7200,13,60,India,Asia,20.593684,78.96288
